The bread is top notch as well.,"####[['food', 'love']]"
I have to say they have one of the fastest delivery times in the city.,"####[['service', 'love']]"
Food is always fresh and hot- ready to eat!,"####[['food', 'approval']]"
Did I mention that the coffee is OUTSTANDING?,"####[['food', 'joy']]"
"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.","####[['food', 'neutral'], ['ambience', 'approval']]"
"I trust the people at Go Sushi, it never disappoints.","####[['anecdotes/miscellaneous', 'approval']]"
"Straight-forward, no surprises, very decent Japanese food.","####[['food', 'approval']]"
"BEST spicy tuna roll, great asian salad.","####[['food', 'love']]"
Try the rose roll (not on menu).,"####[['food', 'approval']]"
"I love the drinks, esp lychee martini, and the food is also VERY good.","####[['food', 'approval']]"
"In fact, this was not a Nicoise salad and was barely eatable.","####[['food', 'disgust']]"
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.","####[['food', 'approval'], ['service', 'disgust']]"
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.","####[['food', 'love'], ['ambience', 'love']]"
Our waiter was horrible; so rude and disinterested.,"####[['service', 'angry']]"
The sangria's - watered down.,"####[['food', 'disgust']]"
"menu - uneventful, small.","####[['food', 'disappointed']]"
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,"####[['food', 'approval'], ['price', 'approval']]"
Great food but the service was dreadful!,"####[['food', 'approval'], ['service', 'disgust']]"
The portions of the food that came out were mediocre.,"####[['food', 'neutral']]"
the two waitress's looked like they had been sucking on lemons.,"####[['service', 'disgust']]"
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.","####[['service', 'approval'], ['anecdotes/miscellaneous', 'approval']]"
We enjoyed ourselves thoroughly and will be going back for the desserts ....,"####[['food', 'joy'], ['anecdotes/miscellaneous', 'joy']]"
Desserts are almost incredible: my personal favorite is their Tart of the Day.,"####[['food', 'love']]"
I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.,"####[['anecdotes/miscellaneous', 'joy']]"
Maybe the secret was that we went on a Sunday night and everything was great.,"####[['anecdotes/miscellaneous', 'approval']]"
"The food was extremely tasty, creatively presented and the wine excellent.","####[['food', 'joy']]"
WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.,"####[['anecdotes/miscellaneous', 'neutral']]"
WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.,"####[['anecdotes/miscellaneous', 'joy']]"
THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,"####[['food', 'love']]"
Harumi Sushi has the freshest and most delicious array of sushi in NYC.,"####[['food', 'love']]"
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.","####[['food', 'love'], ['service', 'love']]"
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.","####[['food', 'approval'], ['ambience', 'approval']]"
I definitely enjoyed the food as well.,"####[['food', 'love']]"
have always had a great time here.,"####[['anecdotes/miscellaneous', 'joy']]"
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.","####[['ambience', 'joy'], ['service', 'approval'], ['food', 'approval']]"
You will be very happy with the experience.,"####[['anecdotes/miscellaneous', 'joy']]"
"The food is surprisingly good, and the decor is nice.","####[['food', 'joy'], ['ambience', 'joy']]"
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,"####[['food', 'disgust']]"
Two wasted steaks -- what a crime!,"####[['food', 'angry']]"
The staff should be a bit more friendly.,"####[['service', 'disappointed']]"
I absolutely suggest this place.,"####[['anecdotes/miscellaneous', 'approval']]"
